"","id","rrow","cluster","y","x","wfac","bfac","wfac3","wfac3 more"
"1",1,1,1,9.9,9.9,1,0,3,"C"
"2",2,2,1,8,9,1,0,3,"C"
"3",3,3,1,8,9,1,0,3,"C"
"4",4,4,1,5,10,0,0,3,"C"
"5",5,5,1,6,10,0,0,3,"C"
"6",6,6,1,3,12,1,0,1,"A"
"7",7,7,1,1,12,0,0,2,"B"
"8",8,8,1,13,7,0,0,3,"C"
"9",9,9,1,10,9,1,0,2,"B"
"10",10,10,1,9,10,1,0,2,"B"
"11",11,11,2,15,11,1,0,2,"B"
"12",12,12,2,13,10,0,0,2,"B"
"13",13,13,2,-1,8,1,0,2,"B"
"14",14,14,2,12,10,1,0,3,"C"
"15",15,15,2,4,9,1,0,2,"B"
"16",16,16,2,15,11,1,0,2,"B"
"17",17,17,2,9,10,0,0,3,"C"
"18",18,18,2,9,10,1,0,1,"A"
"19",19,19,2,16,11,1,0,2,"B"
"20",20,20,2,11,10,0,0,2,"B"
"21",21,21,2,13,10,1,0,2,"B"
"22",22,22,2,8,10,1,0,1,"A"
"23",23,23,2,7,9,0,0,3,"C"
"24",24,24,2,12,10,0,0,3,"C"
"25",25,25,2,10,9,1,0,2,"B"
"26",26,26,3,17,9,1,0,3,"C"
"27",27,27,3,23,11,0,0,3,"C"
"28",28,28,3,19,9,1,0,1,"A"
"29",29,29,3,21,10,0,0,1,"A"
"30",30,30,3,24,11,1,0,1,"A"
"31",31,31,3,18,9,0,0,1,"A"
"32",32,32,3,20,10,1,0,2,"B"
"33",33,33,3,18,9,0,0,2,"B"
"34",34,34,3,19,10,0,0,3,"C"
"35",35,35,3,24,11,1,0,3,"C"
"36",36,36,3,21,10,0,0,3,"C"
"37",37,37,3,13,8,1,0,3,"C"
"38",38,38,3,19,10,0,0,2,"B"
"39",39,39,3,20,10,1,0,3,"C"
"40",40,40,3,24,11,0,0,2,"B"
"41",41,41,3,22,10,0,0,3,"C"
"42",42,42,4,11,11,0,1,3,"C"
"43",43,43,4,12,10,0,1,3,"C"
"44",44,44,4,18,9,1,1,1,"A"
"45",45,45,4,13,8,0,1,3,"C"
"46",46,46,4,18,9,1,1,3,"C"
"47",47,47,4,18,10,1,1,3,"C"
"48",48,48,4,18,11,1,1,1,"A"
"49",49,49,4,18,10,1,1,3,"C"
"50",50,50,4,18,8,1,1,2,"B"
"51",51,51,4,16,10,1,1,3,"C"
"52",52,52,4,13,9,0,1,1,"A"
"53",53,53,4,16,10,1,1,3,"C"
"54",54,54,5,16,11,0,1,2,"B"
"55",55,55,5,15,10,1,1,1,"A"
"56",56,56,5,14,11,0,1,2,"B"
"57",57,57,5,14,10,0,1,1,"A"
"58",58,58,5,10,10,0,1,3,"C"
"59",59,59,5,14,10,1,1,3,"C"
"60",60,60,5,11,10,0,1,2,"B"
"61",61,61,5,7,10,0,1,3,"C"
"62",62,62,5,18,11,1,1,1,"A"
"63",63,63,5,11,9,1,1,2,"B"
"64",64,64,5,11,10,0,1,3,"C"
"65",65,65,5,6,9,0,1,3,"C"
"66",66,66,5,12,10,0,1,1,"A"
"67",67,67,5,16,10,1,1,3,"C"
"68",68,68,6,16,10,0,1,3,"C"
"69",69,69,6,17,8,0,1,2,"B"
"70",70,70,6,18,11,1,1,3,"C"
"71",71,71,6,19,11,1,1,1,"A"
"72",72,72,6,15,10,0,1,1,"A"
"73",73,73,6,14,11,0,1,1,"A"
"74",74,74,6,15,10,0,1,3,"C"
"75",75,75,6,18,10,1,1,3,"C"
"76",76,76,6,19,11,1,1,3,"C"
"77",77,77,6,13,12,0,1,2,"B"
"78",78,78,6,20,9,1,1,3,"C"
"79",79,79,6,15,11,0,1,3,"C"
"80",80,80,6,20,10,1,1,1,"A"
"81",81,81,7,14,11,1,0,2,"B"
"82",82,82,7,10,9,1,0,2,"B"
"83",83,83,7,15,10,0,0,2,"B"
"84",84,84,7,16,11,0,0,1,"A"
"85",85,85,7,14,11,0,0,1,"A"
"86",86,86,7,16,11,1,0,3,"C"
"87",87,87,7,14,10,0,0,3,"C"
"88",88,88,7,14,10,1,0,3,"C"
"89",89,89,7,9,8,0,0,2,"B"
"90",90,90,7,15,11,1,0,2,"B"
"91",91,91,7,14,11,1,0,2,"B"
"92",92,92,7,15,10,1,0,1,"A"
"93",93,93,7,19,12,0,0,3,"C"
"94",94,94,7,11,9,1,0,2,"B"
"95",95,95,7,12,10,0,0,1,"A"
"96",96,96,7,16,10,1,0,3,"C"
"97",97,97,7,14,10,1,0,1,"A"
"98",98,98,7,12,10,0,0,1,"A"
"99",99,99,7,16,11,0,0,2,"B"
"100",100,100,8,14,10,1,0,2,"B"
"101",101,101,8,13,9,0,0,2,"B"
"102",102,102,8,29,12,0,0,3,"C"
"103",103,103,8,16,10,1,0,2,"B"
"104",104,104,8,9,9,1,0,2,"B"
"105",105,105,8,13,10,1,0,1,"A"
"106",106,106,8,10,9,0,0,3,"C"
"107",107,107,8,13,10,0,0,3,"C"
"108",108,108,8,15,10,0,0,3,"C"
"109",109,109,8,9,9,1,0,1,"A"
"110",110,110,8,12,10,1,0,1,"A"
"111",111,111,8,7,9,1,0,1,"A"
"112",112,112,8,26,11,0,0,3,"C"
"113",113,113,8,10,9,1,0,1,"A"
"114",114,114,8,12,10,1,0,3,"C"
"115",115,115,9,7,9,1,0,1,"A"
"116",116,116,9,22,12,1,0,1,"A"
"117",117,117,9,13,10,1,0,2,"B"
"118",118,118,9,15,10,1,0,3,"C"
"119",119,119,9,12,10,0,0,2,"B"
"120",120,120,9,17,11,0,0,2,"B"
"121",121,121,9,14,10,0,0,3,"C"
"122",122,122,9,10,9,0,0,2,"B"
"123",123,123,9,8,9,0,0,3,"C"
"124",124,124,9,9,9,1,0,3,"C"
"125",125,125,9,27,13,0,0,3,"C"
"126",126,126,9,18,11,1,0,1,"A"
"127",127,127,9,18,11,0,0,1,"A"
"128",128,128,9,5,8,1,0,3,"C"
"129",129,129,9,14,10,0,0,1,"A"
"130",130,130,9,9,9,0,0,1,"A"
"131",131,131,9,16,11,0,0,2,"B"
"132",132,132,10,6,9,0,0,2,"B"
"133",133,133,10,20,12,1,0,1,"A"
"134",134,134,10,17,12,1,0,1,"A"
"135",135,135,10,16,10,0,0,3,"C"
"136",136,136,10,13,11,1,0,2,"B"
"137",137,137,10,8,10,1,0,2,"B"
"138",138,138,10,13,11,1,0,2,"B"
"139",139,139,10,15,11,1,0,1,"A"
"140",140,140,10,14,10,1,0,1,"A"
"141",141,141,10,12,10,0,0,3,"C"
"142",142,142,10,8,9,1,0,2,"B"
"143",143,143,10,11,10,0,0,1,"A"
"144",144,144,10,9,10,1,0,1,"A"
"145",145,145,10,0,8,1,0,2,"B"
"146",146,146,11,14,12,0,1,1,"A"
"147",147,147,11,10,10,0,1,3,"C"
"148",148,148,11,6,9,0,1,2,"B"
"149",149,149,11,7,9,0,1,1,"A"
"150",150,150,11,14,10,1,1,1,"A"
"151",151,151,11,11,11,0,1,3,"C"
"152",152,152,11,13,11,0,1,2,"B"
"153",153,153,11,13,10,1,1,2,"B"
"154",154,154,11,6,9,0,1,3,"C"
"155",155,155,11,12,10,1,1,2,"B"
"156",156,156,11,14,10,1,1,3,"C"
"157",157,157,11,9,8,1,1,2,"B"
"158",158,158,11,11,9,1,1,3,"C"
"159",159,159,12,7,10,0,0,1,"A"
"160",160,160,12,7,11,0,0,3,"C"
"161",161,161,12,7,10,1,0,3,"C"
"162",162,162,12,2,9,1,0,2,"B"
"163",163,163,12,7,10,1,0,1,"A"
"164",164,164,12,5,9,1,0,2,"B"
"165",165,165,12,6,10,1,0,1,"A"
"166",166,166,12,4,10,1,0,3,"C"
"167",167,167,12,8,10,0,0,2,"B"
"168",168,168,12,8,10,0,0,3,"C"
"169",169,169,12,8,11,1,0,1,"A"
"170",170,170,12,0,8,0,0,2,"B"
"171",171,171,12,4,9,0,0,2,"B"
"172",172,172,12,3,9,0,0,2,"B"
"173",173,173,13,12,11,0,1,3,"C"
"174",174,174,13,18,11,1,1,1,"A"
"175",175,175,13,21,12,1,1,3,"C"
"176",176,176,13,16,11,0,1,1,"A"
"177",177,177,13,15,12,0,1,2,"B"
"178",178,178,13,15,11,0,1,3,"C"
"179",179,179,13,3,8,0,1,3,"C"
"180",180,180,13,12,9,1,1,3,"C"
"181",181,181,13,9,10,0,1,2,"B"
"182",182,182,13,15,10,1,1,1,"A"
"183",183,183,13,14,10,1,1,2,"B"
"184",184,184,13,16,11,0,1,2,"B"
"185",185,185,13,13,9,1,1,1,"A"
"186",186,186,14,21,11,1,0,3,"C"
"187",187,187,14,21,11,1,0,1,"A"
"188",188,188,14,19,10,1,0,2,"B"
"189",189,189,14,17,9,0,0,1,"A"
"190",190,190,14,17,9,1,0,3,"C"
"191",191,191,14,20,10,1,0,2,"B"
"192",192,192,14,21,11,1,0,2,"B"
"193",193,193,14,19,10,1,0,3,"C"
"194",194,194,14,16,9,1,0,2,"B"
"195",195,195,14,18,9,0,0,1,"A"
"196",196,196,14,17,9,0,0,1,"A"
"197",197,197,14,20,10,0,0,2,"B"
"198",198,198,14,22,11,1,0,2,"B"
"199",199,199,14,21,10,1,0,3,"C"
"200",200,200,14,22,12,1,0,3,"C"
"201",201,201,14,17,8,0,0,3,"C"
"202",202,202,14,18,10,1,0,3,"C"
"203",203,203,14,21,10,1,0,3,"C"
"204",204,204,14,18,10,1,0,3,"C"
"205",205,205,15,18,11,1,1,2,"B"
"206",206,206,15,16,9,1,1,2,"B"
"207",207,207,15,13,10,0,1,2,"B"
"208",208,208,15,17,10,1,1,2,"B"
"209",209,209,15,9,9,0,1,1,"A"
"210",210,210,15,18,10,1,1,3,"C"
"211",211,211,15,12,9,0,1,3,"C"
"212",212,212,15,16,9,1,1,3,"C"
"213",213,213,15,15,11,0,1,1,"A"
"214",214,214,15,16,9,1,1,1,"A"
"215",215,215,15,21,12,1,1,3,"C"
"216",216,216,15,13,11,0,1,1,"A"
"217",217,217,15,11,9,0,1,2,"B"
"218",218,218,15,21,11,1,1,2,"B"
"219",219,219,15,16,11,0,1,2,"B"
"220",220,220,15,9,9,0,1,3,"C"
"221",221,221,16,17,11,1,0,1,"A"
"222",222,222,16,21,11,1,0,1,"A"
"223",223,223,16,7,9,0,0,3,"C"
