"decision";"reward";"engagment";"sat"
0.5;0.5;8.7226748206084;20.9342453680873
0.5;-0.5;10.6069681576827;21.2617176422895
0.5;0.5;9.05067403483645;18.7898294430624
0.5;-0.5;10.7596745203935;21.6054846720698
0.5;0.5;8.48388231331923;19.057405675638
0.5;-0.5;9.81343180238129;20.4058958870309
0.5;0.5;8.5379075238171;18.2154375401614
0.5;-0.5;10.1289202239738;19.8064088411877
0.5;0.5;9.12341903146002;17.5608847666828
0.5;-0.5;9.85433280961787;18.4532938395494
0.5;0.5;9.55981544874504;20.1289179736948
0.5;-0.5;10.6573807586421;20.2112944883115
0.5;0.5;9.07129880483365;19.341054405661
0.5;-0.5;9.91967412512685;17.5812731837933
0.5;0.5;10.6280173578624;21.8582336522245
0.5;-0.5;11.9444638478895;22.6003650043041
0.5;0.5;9.52038773011422;20.3402833934744
0.5;-0.5;11.2837033140191;22.3658592909141
0.5;0.5;10.5552061955626;20.7116773828511
0.5;-0.5;9.5802146256314;20.356931935466
0.5;0.5;10.901932039676;21.6448179816173
0.5;-0.5;11.6484254087408;22.6386579782661
0.5;0.5;9.09817502981623;18.6033496316504
0.5;-0.5;9.74411520263598;20.2157819180295
0.5;0.5;10.3576624140584;18.4764404553142
0.5;-0.5;8.44495069484333;18.5140597566879
0.5;0.5;9.40026788894792;19.5730109058315
0.5;-0.5;11.6538274258323;21.7902405195652
0.5;0.5;11.1626822200089;20.8923289742064
0.5;-0.5;10.4887410181471;19.7721033695795
0.5;0.5;8.7226748206084;20.9342453680873
0.5;-0.5;10.6069681576827;21.2617176422895
0.5;0.5;9.05067403483645;18.7898294430624
0.5;-0.5;10.7596745203935;21.6054846720698
0.5;0.5;8.48388231331923;19.057405675638
0.5;-0.5;9.81343180238129;20.4058958870309
0.5;0.5;8.5379075238171;18.2154375401614
0.5;-0.5;10.1289202239738;19.8064088411877
0.5;0.5;9.12341903146002;17.5608847666828
0.5;-0.5;9.85433280961787;18.4532938395494
0.5;0.5;9.55981544874504;20.1289179736948
0.5;-0.5;10.6573807586421;20.2112944883115
0.5;0.5;9.07129880483365;19.341054405661
0.5;-0.5;9.91967412512685;17.5812731837933
0.5;0.5;10.6280173578624;21.8582336522245
0.5;-0.5;11.9444638478895;22.6003650043041
0.5;0.5;9.52038773011422;20.3402833934744
0.5;-0.5;11.2837033140191;22.3658592909141
0.5;0.5;10.5552061955626;20.7116773828511
0.5;-0.5;9.5802146256314;20.356931935466
0.5;0.5;10.901932039676;21.6448179816173
0.5;-0.5;11.6484254087408;22.6386579782661
0.5;0.5;9.09817502981623;18.6033496316504
0.5;-0.5;9.74411520263598;20.2157819180295
0.5;0.5;10.3576624140584;18.4764404553142
0.5;-0.5;8.44495069484333;18.5140597566879
0.5;0.5;9.40026788894792;19.5730109058315
0.5;-0.5;11.6538274258323;21.7902405195652
0.5;0.5;11.1626822200089;20.8923289742064
0.5;-0.5;10.4887410181471;19.7721033695795
-0.5;0.5;9.31830363128628;19.4356659683983
-0.5;-0.5;8.98698029057594;19.3092043123552
-0.5;0.5;12.912253446713;21.7476273123356
-0.5;-0.5;8.53920503006719;18.4580021571967
-0.5;0.5;11.6997694052348;21.6057487346157
-0.5;-0.5;9.49459065964644;18.8884718976229
-0.5;0.5;9.74900797597219;20.7226246203651
-0.5;-0.5;9.07445498738276;19.5045768898077
-0.5;0.5;9.15860280015197;20.1204695310256
-0.5;-0.5;9.35519581959821;19.9626947277502
-0.5;0.5;10.6789126894366;20.8791105710012
-0.5;-0.5;9.00241353372729;17.8695055368603
-0.5;0.5;11.0591290210222;18.9105203226669
-0.5;-0.5;8.95789868081366;19.173299964511
