"","y","x","fac","cl"
"1",0.647302903123426,-0.182882413995601,"1","1"
"2",3.74785909673758,0.821884683622008,"2","1"
"3",-1.15176006834095,-0.463782124580689,"3","1"
"4",6.36698965791827,1.38904990054414,"4","1"
"5",-1.11266848912618,-0.991800537945952,"1","2"
"6",-0.869413444693961,-0.372790485673108,"2","2"
"7",0.780707383480825,0.585670725371313,"3","2"
"8",-6.14876104760138,-1.09076308120262,"4","2"
"9",0.0502528728818243,0.724796898526806,"1","3"
"10",2.99635432032384,0.478581282217078,"2","3"
"11",3.82026275167553,1.15858162513003,"3","3"
"12",3.87485325879539,0.871525749731828,"4","3"
"13",1.30595544521226,0.632040571345601,"1","4"
"14",-0.782620787629812,-0.23278609311029,"2","4"
"15",-0.616148219638614,-0.124576275846506,"3","4"
"16",-2.68048241674567,-0.390077397221192,"4","4"
"17",0.143456779745188,-0.825770274262777,"1","5"
"18",0.214005774556997,-0.772354417427968,"2","5"
"19",0.444025239869953,-0.224572818856896,"3","5"
"20",-8.9831257608215,-2.28735360375348,"4","5"
"21",-0.476353508776983,0.194563494167552,"1","6"
"22",-4.28763055484268,-1.68915009763991,"2","6"
"23",-0.386590587304143,-0.0215418103881794,"3","6"
"24",-6.02995566440673,-1.25263942566169,"4","6"
"25",-0.37667684853845,0.450419544949649,"1","7"
"26",-0.218292450739352,-0.319384401933979,"2","7"
"27",-4.11368414589994,-1.32597139507171,"3","7"
"28",1.61364609648374,0.253098368850654,"4","7"
"29",0.313029031113919,0.921295603134827,"1","8"
"30",0.316356845465746,0.0272843358343131,"2","8"
"31",-6.0311245431229,-1.95028723468029,"3","8"
"32",2.49485644726745,0.382422539404941,"4","8"
"33",0.330838921942931,0.776889411429856,"1","9"
"34",-0.59027094156125,-0.421659833880128,"2","9"
"35",1.44909744652393,0.595878774964698,"3","9"
"36",1.33980975081659,0.0462310282200474,"4","9"
"37",2.28419780891214,0.89958074445507,"1","10"
"38",-2.88758155342388,-1.25451463426572,"2","10"
"39",0.430507853626162,0.64495422052584,"3","10"
"40",6.32366144986341,1.78064238233169,"4","10"
"41",0.892130703463025,-0.137537797046141,"1","11"
"42",-1.8659349413017,-0.945296291930556,"2","11"
"43",-4.24359944170855,-1.73259479525439,"3","11"
"44",-3.51851679543414,-0.743012212644989,"4","11"
"45",0.0769815775271203,-0.531822320984373,"1","12"
"46",-0.600621573286969,0.109577034213597,"2","12"
"47",1.63096782799715,-0.113246800816228,"3","12"
"48",-3.41121477976724,-0.981750382153241,"4","12"
"49",1.91413074291656,0.678407940839861,"1","13"
"50",3.95071578615797,1.69332063087339,"2","13"
"51",-0.254533512246332,-0.150970060207797,"3","13"
"52",2.81149212566894,0.568390899058366,"4","13"
"53",-1.08152232287381,-0.60365866072579,"1","14"
"54",2.11472044901202,0.989603482354283,"2","14"
"55",-0.376014371587574,-0.223035562562732,"3","14"
"56",-2.46575093338841,-0.396730504638385,"4","14"
"57",-0.603449063403767,-0.909116472020569,"1","15"
"58",0.273697021556649,-0.302923726924245,"2","15"
"59",4.42122231622485,1.10685270998932,"3","15"
"60",-1.73641594077647,-0.219797805741944,"4","15"
"61",-2.16386418790751,-1.0382650518835,"1","16"
"62",4.46842162761863,2.25348541328132,"2","16"
"63",-2.53691949926015,-1.5240720093705,"3","16"
"64",3.41202572516049,0.72707713381466,"4","16"
"65",0.0747542811038038,-0.170095095162834,"1","17"
"66",5.24885519136021,1.38107878179655,"2","17"
"67",1.26777255767559,0.10810327790955,"3","17"
"68",4.03413587592561,0.713905302537737,"4","17"
"69",-0.225073509605875,0.103568544765854,"1","18"
"70",-1.11708935948037,-0.628224202467441,"2","18"
"71",1.0950068192672,-0.282951975304842,"3","18"
"72",6.8522646110959,1.69544249458699,"4","18"
"73",-1.31619223288139,0.560350484293422,"1","19"
"74",-2.27468556692494,-0.596305923310751,"2","19"
"75",2.71154468735103,0.573870908096327,"3","19"
"76",2.42738180922624,0.676478665184948,"4","19"
"77",-1.00554790030285,-0.617925181312345,"1","20"
"78",-0.359444509828193,-1.04365334308517,"2","20"
"79",0.410824171212136,0.223726873282438,"3","20"
"80",-6.60685568074533,-1.33402662271863,"4","20"
"81",-0.238832517635523,-1.19426271141012,"1","21"
"82",-1.64432629893523,-1.40084137348711,"2","21"
"83",5.11221612514351,1.92191307130455,"3","21"
"84",3.27177681125402,0.667065689210473,"4","21"
"85",1.29787695010412,0.624382231446204,"1","22"
"86",0.0448158175650816,0.392821799611067,"2","22"
"87",-0.700445144249029,-0.35104859270732,"3","22"
"88",1.88726031334128,-0.02347318010533,"4","22"
"89",-1.27975073347683,-0.479443353014688,"1","23"
"90",0.0010791221341011,-0.354724137509398,"2","23"
"91",-3.33303999764998,-1.26993712589688,"3","23"
"92",5.22878303972814,0.841412102085329,"4","23"
"93",1.39908459498675,0.78265451407347,"1","24"
"94",-1.47791427617745,-0.223786637088335,"2","24"
"95",-1.32571332587928,-0.81611556994184,"3","24"
"96",4.14332153421944,0.177827242916087,"4","24"
"97",0.896836319904705,-1.36573201244958,"1","25"
"98",2.47127641141817,-0.185280301335036,"2","25"
"99",5.65314481701047,1.06524766025824,"3","25"
"100",8.09164305107177,1.86400596243073,"4","25"
"101",-1.57197182646357,0.26841733165513,"1","26"
"102",-0.22837812140332,-0.270823249487185,"2","26"
"103",0.96025587730013,0.894452205760714,"3","26"
"104",-7.29190413312189,-1.87198613376727,"4","26"
"105",1.09515271246731,0.144658434761806,"1","27"
"106",1.80781133292389,0.473679143009003,"2","27"
"107",0.0777797367484937,-0.13165051420831,"3","27"
"108",-0.725215552961901,-0.336951491180733,"4","27"
"109",-0.72890996914444,-0.392302597831981,"1","28"
"110",-0.227501399553501,-0.184258575476698,"2","28"
"111",-1.77654957000409,-0.555455951167991,"3","28"
"112",2.46534281744364,0.238156318372333,"4","28"
"113",1.48792949751209,0.14709561493044,"1","29"
"114",2.73256511651276,0.396991064302192,"2","29"
"115",2.87562312843553,1.05555690797417,"3","29"
