"","id","fac","bac","y"
"1",1,0,10,12.5416376251804
"2",2,1,10,10.3669449181645
"3",3,0,10,9.9950941988709
"4",4,1,10,10.6827457393145
"5",5,0,10,10.2185146145932
"6",6,1,10,10.7011591214629
"7",7,0,10,9.42410142039198
"8",8,1,10,11.1501445901381
"9",9,0,10,10.8273355713039
"10",10,1,10,9.98187013325449
"11",11,0,10,10.983026952894
"12",12,1,10,10.5519012412418
"13",13,0,10,8.65692085315999
"14",14,1,10,9.95356114931757
"15",15,0,10,8.91481373164672
"16",16,1,10,11.2595023940541
"17",17,0,10,10.7049414869447
"18",18,1,10,12.3929876394386
"19",19,0,10,10.5912152765935
"20",20,1,10,10.5298260375818
"21",21,0,20,20.5064755941695
"22",22,1,20,22.3119820337421
"23",23,0,20,20.5955528719695
"24",24,1,20,20.3572397600971
"25",25,0,20,18.27973643008
"26",26,1,20,22.2667502949914
"27",27,0,20,18.7356314859932
"28",28,1,20,20.3007604609103
"29",29,0,20,18.7479668385307
"30",30,1,20,22.584460399479
"31",31,0,20,20.4836837859652
"32",32,1,20,21.8471729940312
"33",33,0,20,19.6088081351963
"34",34,1,20,19.8673554012855
"35",35,0,20,20.0859289261984
"36",36,1,20,20.5314692369932
"37",37,0,20,20.5823925806391
"38",38,1,20,21.235842332357
"39",39,0,20,20.6990144688336
"40",40,1,20,20.3173083016808
